slot_id,provider_id,clinic_id,specialty,slot_start_ts,slot_end_ts,modality,visit_type,slot_status,base_priority_score
SL00068,PR001,CL001,primary_care,2026-04-28T09:30:00,2026-04-28T09:50:00,in_person,existing_concern,open,0.67
SL00069,PR001,CL001,primary_care,2026-04-28T10:00:00,2026-04-28T10:20:00,telehealth,existing_concern,open,0.4
SL00070,PR001,CL001,primary_care,2026-04-28T10:30:00,2026-04-28T10:50:00,in_person,follow_up,open,0.67
SL00071,PR001,CL001,primary_care,2026-04-28T11:00:00,2026-04-28T11:20:00,in_person,follow_up,open,0.63
SL00072,PR001,CL001,primary_care,2026-04-28T11:30:00,2026-04-28T11:50:00,telehealth,new_issue,open,0.6
SL00073,PR001,CL001,primary_care,2026-04-28T13:00:00,2026-04-28T13:20:00,telehealth,new_issue,open,0.43
SL00074,PR001,CL001,primary_care,2026-04-28T13:30:00,2026-04-28T13:50:00,telehealth,follow_up,open,0.45
SL00075,PR001,CL001,primary_care,2026-04-28T14:00:00,2026-04-28T14:20:00,in_person,follow_up,open,0.48
SL00076,PR001,CL001,primary_care,2026-04-28T14:30:00,2026-04-28T14:50:00,in_person,existing_concern,open,0.47
SL00077,PR001,CL001,primary_care,2026-04-28T15:00:00,2026-04-28T15:20:00,in_person,existing_concern,open,0.66
SL00078,PR001,CL001,primary_care,2026-04-28T15:30:00,2026-04-28T15:50:00,telehealth,existing_concern,open,0.52
SL00079,PR001,CL001,primary_care,2026-04-28T16:00:00,2026-04-28T16:20:00,in_person,follow_up,open,0.7
SL00080,PR001,CL001,primary_care,2026-04-28T16:30:00,2026-04-28T16:50:00,in_person,follow_up,open,0.67
SL00081,PR001,CL001,primary_care,2026-04-29T08:00:00,2026-04-29T08:20:00,in_person,existing_concern,open,0.51
SL00082,PR001,CL001,primary_care,2026-04-29T08:30:00,2026-04-29T08:50:00,in_person,new_issue,open,0.57
SL00083,PR001,CL001,primary_care,2026-04-29T09:00:00,2026-04-29T09:20:00,in_person,new_issue,open,0.75
SL00084,PR001,CL001,primary_care,2026-04-29T09:30:00,2026-04-29T09:50:00,in_person,follow_up,open,0.89
SL00085,PR001,CL001,primary_care,2026-04-29T10:00:00,2026-04-29T10:20:00,telehealth,existing_concern,open,0.57
SL00086,PR001,CL001,primary_care,2026-04-29T10:30:00,2026-04-29T10:50:00,in_person,new_issue,open,0.91
SL00087,PR001,CL001,primary_care,2026-04-29T11:00:00,2026-04-29T11:20:00,telehealth,existing_concern,open,0.68
SL00088,PR001,CL001,primary_care,2026-04-29T11:30:00,2026-04-29T11:50:00,telehealth,existing_concern,open,0.48
SL00089,PR001,CL001,primary_care,2026-04-29T13:00:00,2026-04-29T13:20:00,telehealth,existing_concern,open,0.88
SL00090,PR001,CL001,primary_care,2026-04-29T13:30:00,2026-04-29T13:50:00,in_person,new_issue,open,0.75
SL00091,PR001,CL001,primary_care,2026-04-29T14:00:00,2026-04-29T14:20:00,telehealth,new_issue,open,0.5
SL00092,PR001,CL001,primary_care,2026-04-29T14:30:00,2026-04-29T14:50:00,in_person,follow_up,open,0.9
SL00093,PR001,CL001,primary_care,2026-04-29T15:00:00,2026-04-29T15:20:00,telehealth,new_issue,open,0.85
SL00094,PR001,CL001,primary_care,2026-04-29T15:30:00,2026-04-29T15:50:00,in_person,existing_concern,open,0.87
SL00095,PR001,CL001,primary_care,2026-04-29T16:00:00,2026-04-29T16:20:00,in_person,follow_up,open,0.41
SL00096,PR001,CL001,primary_care,2026-04-29T16:30:00,2026-04-29T16:50:00,telehealth,existing_concern,open,0.9
SL00097,PR001,CL001,primary_care,2026-04-30T08:00:00,2026-04-30T08:20:00,telehealth,new_issue,open,0.83
SL00098,PR001,CL001,primary_care,2026-04-30T08:30:00,2026-04-30T08:50:00,in_person,existing_concern,open,0.62
SL00099,PR001,CL001,primary_care,2026-04-30T09:00:00,2026-04-30T09:20:00,in_person,new_issue,open,0.73
SL00100,PR001,CL001,primary_care,2026-04-30T09:30:00,2026-04-30T09:50:00,telehealth,new_issue,open,0.63
SL00101,PR001,CL001,primary_care,2026-04-30T10:00:00,2026-04-30T10:20:00,in_person,new_issue,open,0.52
SL00102,PR001,CL001,primary_care,2026-04-30T10:30:00,2026-04-30T10:50:00,in_person,existing_concern,open,0.4
SL00103,PR001,CL001,primary_care,2026-04-30T11:00:00,2026-04-30T11:20:00,telehealth,existing_concern,open,0.93
SL00104,PR001,CL001,primary_care,2026-04-30T11:30:00,2026-04-30T11:50:00,in_person,new_issue,open,0.47
SL00105,PR001,CL001,primary_care,2026-04-30T13:00:00,2026-04-30T13:20:00,in_person,follow_up,open,0.53
SL00106,PR001,CL001,primary_care,2026-04-30T13:30:00,2026-04-30T13:50:00,telehealth,existing_concern,open,0.43
SL00107,PR001,CL001,primary_care,2026-04-30T14:00:00,2026-04-30T14:20:00,telehealth,existing_concern,open,0.48
SL00108,PR001,CL001,primary_care,2026-04-30T14:30:00,2026-04-30T14:50:00,in_person,follow_up,open,0.79
SL00109,PR001,CL001,primary_care,2026-04-30T15:00:00,2026-04-30T15:20:00,in_person,existing_concern,held,0.54
SL00110,PR001,CL001,primary_care,2026-04-30T15:30:00,2026-04-30T15:50:00,in_person,existing_concern,open,0.43
SL00111,PR001,CL001,primary_care,2026-04-30T16:00:00,2026-04-30T16:20:00,telehealth,existing_concern,open,0.44
SL00112,PR001,CL001,primary_care,2026-04-30T16:30:00,2026-04-30T16:50:00,in_person,follow_up,open,0.49
SL00113,PR001,CL001,primary_care,2026-05-01T08:00:00,2026-05-01T08:20:00,in_person,existing_concern,open,0.6
SL00114,PR001,CL001,primary_care,2026-05-01T08:30:00,2026-05-01T08:50:00,telehealth,existing_concern,open,0.77
SL00115,PR001,CL001,primary_care,2026-05-01T09:00:00,2026-05-01T09:20:00,in_person,new_issue,open,0.75
SL00116,PR001,CL001,primary_care,2026-05-01T09:30:00,2026-05-01T09:50:00,telehealth,follow_up,open,0.83
SL00117,PR001,CL001,primary_care,2026-05-01T10:00:00,2026-05-01T10:20:00,in_person,follow_up,open,0.71
SL00118,PR001,CL001,primary_care,2026-05-01T10:30:00,2026-05-01T10:50:00,in_person,follow_up,open,0.94
SL00119,PR001,CL001,primary_care,2026-05-01T11:00:00,2026-05-01T11:20:00,telehealth,existing_concern,open,0.73
SL00120,PR001,CL001,primary_care,2026-05-01T11:30:00,2026-05-01T11:50:00,in_person,new_issue,open,0.57
SL00121,PR001,CL001,primary_care,2026-05-01T13:00:00,2026-05-01T13:20:00,in_person,new_issue,open,0.78
SL00122,PR001,CL001,primary_care,2026-05-01T13:30:00,2026-05-01T13:50:00,telehealth,new_issue,open,0.56
SL00123,PR001,CL001,primary_care,2026-05-01T14:00:00,2026-05-01T14:20:00,in_person,follow_up,open,0.63
SL00124,PR001,CL001,primary_care,2026-05-01T14:30:00,2026-05-01T14:50:00,telehealth,new_issue,open,0.48
SL00125,PR001,CL001,primary_care,2026-05-01T15:00:00,2026-05-01T15:20:00,telehealth,new_issue,open,0.87
SL00126,PR001,CL001,primary_care,2026-05-01T15:30:00,2026-05-01T15:50:00,telehealth,existing_concern,open,0.67
SL00127,PR001,CL001,primary_care,2026-05-01T16:00:00,2026-05-01T16:20:00,telehealth,new_issue,open,0.67
SL00128,PR001,CL001,primary_care,2026-05-01T16:30:00,2026-05-01T16:50:00,in_person,new_issue,open,0.8
SL00129,PR001,CL001,primary_care,2026-05-04T08:00:00,2026-05-04T08:20:00,in_person,existing_concern,open,0.62
SL00130,PR001,CL001,primary_care,2026-05-04T08:30:00,2026-05-04T08:50:00,telehealth,new_issue,held,0.72
SL00131,PR001,CL001,primary_care,2026-05-04T09:00:00,2026-05-04T09:20:00,in_person,follow_up,open,0.45
SL00132,PR001,CL001,primary_care,2026-05-04T09:30:00,2026-05-04T09:50:00,in_person,new_issue,open,0.72
SL00133,PR001,CL001,primary_care,2026-05-04T10:00:00,2026-05-04T10:20:00,in_person,existing_concern,open,0.68
SL00134,PR001,CL001,primary_care,2026-05-04T10:30:00,2026-05-04T10:50:00,in_person,new_issue,open,0.45
SL00135,PR001,CL001,primary_care,2026-05-04T11:00:00,2026-05-04T11:20:00,telehealth,follow_up,open,0.71
SL00136,PR001,CL001,primary_care,2026-05-04T11:30:00,2026-05-04T11:50:00,in_person,existing_concern,open,0.54
SL00137,PR001,CL001,primary_care,2026-05-04T13:00:00,2026-05-04T13:20:00,in_person,follow_up,open,0.6
SL00138,PR001,CL001,primary_care,2026-05-04T13:30:00,2026-05-04T13:50:00,in_person,new_issue,open,0.73
SL00139,PR001,CL001,primary_care,2026-05-04T14:00:00,2026-05-04T14:20:00,in_person,follow_up,open,0.41
SL00140,PR001,CL001,primary_care,2026-05-04T14:30:00,2026-05-04T14:50:00,in_person,new_issue,blocked,0.88
SL00141,PR001,CL001,primary_care,2026-05-04T15:00:00,2026-05-04T15:20:00,in_person,existing_concern,open,0.54
SL00142,PR001,CL001,primary_care,2026-05-04T15:30:00,2026-05-04T15:50:00,in_person,follow_up,open,0.65
SL00143,PR001,CL001,primary_care,2026-05-04T16:00:00,2026-05-04T16:20:00,telehealth,existing_concern,blocked,0.54
SL00144,PR001,CL001,primary_care,2026-05-04T16:30:00,2026-05-04T16:50:00,in_person,follow_up,open,0.5
SL00145,PR002,CL002,primary_care,2026-04-23T08:00:00,2026-04-23T08:40:00,in_person,follow_up,held,0.9
SL00146,PR002,CL002,primary_care,2026-04-23T08:30:00,2026-04-23T09:10:00,in_person,existing_concern,open,0.91
SL00147,PR002,CL002,primary_care,2026-04-23T09:00:00,2026-04-23T09:40:00,in_person,follow_up,open,0.53
SL00148,PR002,CL002,primary_care,2026-04-23T09:30:00,2026-04-23T10:10:00,in_person,existing_concern,open,0.5
SL00149,PR002,CL002,primary_care,2026-04-23T10:00:00,2026-04-23T10:40:00,in_person,follow_up,blocked,0.95
SL00150,PR002,CL002,primary_care,2026-04-23T10:30:00,2026-04-23T11:10:00,in_person,new_issue,open,0.54
SL00151,PR002,CL002,primary_care,2026-04-23T11:00:00,2026-04-23T11:40:00,in_person,new_issue,held,0.9
SL00152,PR002,CL002,primary_care,2026-04-23T11:30:00,2026-04-23T12:10:00,in_person,follow_up,open,0.79
SL00153,PR002,CL002,primary_care,2026-04-23T13:00:00,2026-04-23T13:40:00,in_person,new_issue,open,0.57
SL00154,PR002,CL002,primary_care,2026-04-23T13:30:00,2026-04-23T14:10:00,in_person,new_issue,open,0.56
SL00155,PR002,CL002,primary_care,2026-04-23T14:00:00,2026-04-23T14:40:00,in_person,existing_concern,open,0.58
SL00156,PR002,CL002,primary_care,2026-04-23T14:30:00,2026-04-23T15:10:00,in_person,follow_up,open,0.66
SL00157,PR002,CL002,primary_care,2026-04-23T15:00:00,2026-04-23T15:40:00,in_person,follow_up,open,0.48
SL00158,PR002,CL002,primary_care,2026-04-23T15:30:00,2026-04-23T16:10:00,in_person,follow_up,open,0.51
SL00159,PR002,CL002,primary_care,2026-04-23T16:00:00,2026-04-23T16:40:00,in_person,new_issue,held,0.52
SL00160,PR002,CL002,primary_care,2026-04-23T16:30:00,2026-04-23T17:10:00,in_person,existing_concern,open,0.65
SL00161,PR002,CL002,primary_care,2026-04-27T08:00:00,2026-04-27T08:40:00,in_person,existing_concern,open,0.93
SL00162,PR002,CL002,primary_care,2026-04-27T08:30:00,2026-04-27T09:10:00,in_person,new_issue,open,0.75
SL00163,PR002,CL002,primary_care,2026-04-27T09:00:00,2026-04-27T09:40:00,in_person,follow_up,open,0.43
SL00164,PR002,CL002,primary_care,2026-04-27T09:30:00,2026-04-27T10:10:00,in_person,existing_concern,held,0.64
SL00165,PR002,CL002,primary_care,2026-04-27T10:00:00,2026-04-27T10:40:00,in_person,follow_up,open,0.54
SL00166,PR002,CL002,primary_care,2026-04-27T10:30:00,2026-04-27T11:10:00,in_person,follow_up,open,0.56
SL00167,PR002,CL002,primary_care,2026-04-27T11:00:00,2026-04-27T11:40:00,in_person,follow_up,open,0.57
SL00168,PR002,CL002,primary_care,2026-04-27T11:30:00,2026-04-27T12:10:00,in_person,new_issue,open,0.68
SL00169,PR002,CL002,primary_care,2026-04-27T13:00:00,2026-04-27T13:40:00,in_person,existing_concern,open,0.56
SL00170,PR002,CL002,primary_care,2026-04-27T13:30:00,2026-04-27T14:10:00,in_person,new_issue,blocked,0.64
SL00171,PR002,CL002,primary_care,2026-04-27T14:00:00,2026-04-27T14:40:00,in_person,new_issue,held,0.45
SL00172,PR002,CL002,primary_care,2026-04-27T14:30:00,2026-04-27T15:10:00,in_person,follow_up,held,0.43
SL00173,PR002,CL002,primary_care,2026-04-27T15:00:00,2026-04-27T15:40:00,in_person,new_issue,blocked,0.41
SL00174,PR002,CL002,primary_care,2026-04-27T15:30:00,2026-04-27T16:10:00,in_person,existing_concern,open,0.4
SL00175,PR002,CL002,primary_care,2026-04-27T16:00:00,2026-04-27T16:40:00,in_person,new_issue,open,0.42
SL00176,PR002,CL002,primary_care,2026-04-27T16:30:00,2026-04-27T17:10:00,in_person,new_issue,open,0.5
SL00177,PR002,CL002,primary_care,2026-04-28T08:00:00,2026-04-28T08:40:00,in_person,existing_concern,open,0.73
SL00178,PR002,CL002,primary_care,2026-04-28T08:30:00,2026-04-28T09:10:00,in_person,existing_concern,open,0.82
SL00179,PR002,CL002,primary_care,2026-04-28T09:00:00,2026-04-28T09:40:00,in_person,new_issue,open,0.77
SL00180,PR002,CL002,primary_care,2026-04-28T09:30:00,2026-04-28T10:10:00,in_person,existing_concern,open,0.41
SL00181,PR002,CL002,primary_care,2026-04-28T10:00:00,2026-04-28T10:40:00,in_person,existing_concern,held,0.69
SL00182,PR002,CL002,primary_care,2026-04-28T10:30:00,2026-04-28T11:10:00,in_person,follow_up,open,0.75
SL00183,PR002,CL002,primary_care,2026-04-28T11:00:00,2026-04-28T11:40:00,in_person,new_issue,open,0.9
SL00184,PR002,CL002,primary_care,2026-04-28T11:30:00,2026-04-28T12:10:00,in_person,new_issue,open,0.55
SL00185,PR002,CL002,primary_care,2026-04-28T13:00:00,2026-04-28T13:40:00,in_person,existing_concern,open,0.6
SL00186,PR002,CL002,primary_care,2026-04-28T13:30:00,2026-04-28T14:10:00,in_person,existing_concern,open,0.73
SL00187,PR002,CL002,primary_care,2026-04-28T14:00:00,2026-04-28T14:40:00,in_person,follow_up,open,0.65
SL00188,PR002,CL002,primary_care,2026-04-28T14:30:00,2026-04-28T15:10:00,in_person,new_issue,open,0.53
SL00189,PR002,CL002,primary_care,2026-04-28T15:00:00,2026-04-28T15:40:00,in_person,existing_concern,open,0.72
SL00190,PR002,CL002,primary_care,2026-04-28T15:30:00,2026-04-28T16:10:00,in_person,follow_up,open,0.92
SL00191,PR002,CL002,primary_care,2026-04-28T16:00:00,2026-04-28T16:40:00,in_person,follow_up,open,0.69
SL00192,PR002,CL002,primary_care,2026-04-28T16:30:00,2026-04-28T17:10:00,in_person,new_issue,open,0.45
SL00193,PR002,CL002,primary_care,2026-04-29T08:00:00,2026-04-29T08:40:00,in_person,new_issue,open,0.71
SL00194,PR002,CL002,primary_care,2026-04-29T08:30:00,2026-04-29T09:10:00,in_person,new_issue,open,0.78
SL00195,PR002,CL002,primary_care,2026-04-29T09:00:00,2026-04-29T09:40:00,in_person,follow_up,open,0.73
SL00196,PR002,CL002,primary_care,2026-04-29T09:30:00,2026-04-29T10:10:00,in_person,existing_concern,open,0.64
SL00197,PR002,CL002,primary_care,2026-04-29T10:00:00,2026-04-29T10:40:00,in_person,new_issue,open,0.42
SL00198,PR002,CL002,primary_care,2026-04-29T10:30:00,2026-04-29T11:10:00,in_person,follow_up,open,0.68
SL00199,PR002,CL002,primary_care,2026-04-29T11:00:00,2026-04-29T11:40:00,in_person,new_issue,open,0.62
SL00200,PR002,CL002,primary_care,2026-04-29T11:30:00,2026-04-29T12:10:00,in_person,existing_concern,open,0.87
SL00201,PR002,CL002,primary_care,2026-04-29T13:00:00,2026-04-29T13:40:00,in_person,existing_concern,open,0.81
SL00202,PR002,CL002,primary_care,2026-04-29T13:30:00,2026-04-29T14:10:00,in_person,new_issue,held,0.61
SL00203,PR002,CL002,primary_care,2026-04-29T14:00:00,2026-04-29T14:40:00,in_person,existing_concern,open,0.69
SL00204,PR002,CL002,primary_care,2026-04-29T14:30:00,2026-04-29T15:10:00,in_person,new_issue,open,0.59
SL00205,PR002,CL002,primary_care,2026-04-29T15:00:00,2026-04-29T15:40:00,in_person,follow_up,open,0.86
SL00206,PR002,CL002,primary_care,2026-04-29T15:30:00,2026-04-29T16:10:00,in_person,follow_up,open,0.43
SL00207,PR002,CL002,primary_care,2026-04-29T16:00:00,2026-04-29T16:40:00,in_person,existing_concern,held,0.54
SL00208,PR002,CL002,primary_care,2026-04-29T16:30:00,2026-04-29T17:10:00,in_person,existing_concern,open,0.6
SL00209,PR002,CL002,primary_care,2026-04-30T08:00:00,2026-04-30T08:40:00,in_person,follow_up,open,0.68
SL00210,PR002,CL002,primary_care,2026-04-30T08:30:00,2026-04-30T09:10:00,in_person,new_issue,open,0.93
SL00211,PR002,CL002,primary_care,2026-04-30T09:00:00,2026-04-30T09:40:00,in_person,existing_concern,open,0.94
SL00212,PR002,CL002,primary_care,2026-04-30T09:30:00,2026-04-30T10:10:00,in_person,new_issue,open,0.74
SL00213,PR002,CL002,primary_care,2026-04-30T10:00:00,2026-04-30T10:40:00,in_person,existing_concern,open,0.91
SL00214,PR002,CL002,primary_care,2026-04-30T10:30:00,2026-04-30T11:10:00,in_person,follow_up,open,0.41
SL00215,PR002,CL002,primary_care,2026-04-30T11:00:00,2026-04-30T11:40:00,in_person,new_issue,open,0.57
SL00216,PR002,CL002,primary_care,2026-04-30T11:30:00,2026-04-30T12:10:00,in_person,new_issue,open,0.93
SL00217,PR002,CL002,primary_care,2026-04-30T13:00:00,2026-04-30T13:40:00,in_person,new_issue,open,0.69
SL00218,PR002,CL002,primary_care,2026-04-30T13:30:00,2026-04-30T14:10:00,in_person,follow_up,open,0.47
SL00219,PR002,CL002,primary_care,2026-04-30T14:00:00,2026-04-30T14:40:00,in_person,follow_up,open,0.55
SL00220,PR002,CL002,primary_care,2026-04-30T14:30:00,2026-04-30T15:10:00,in_person,existing_concern,open,0.86
SL00221,PR002,CL002,primary_care,2026-04-30T15:00:00,2026-04-30T15:40:00,in_person,existing_concern,open,0.7
SL00222,PR002,CL002,primary_care,2026-04-30T15:30:00,2026-04-30T16:10:00,in_person,follow_up,held,0.57
SL00223,PR002,CL002,primary_care,2026-04-30T16:00:00,2026-04-30T16:40:00,in_person,follow_up,open,0.42
SL00224,PR002,CL002,primary_care,2026-04-30T16:30:00,2026-04-30T17:10:00,in_person,new_issue,open,0.7
SL00225,PR002,CL002,primary_care,2026-05-01T08:00:00,2026-05-01T08:40:00,in_person,new_issue,held,0.49
SL00226,PR002,CL002,primary_care,2026-05-01T08:30:00,2026-05-01T09:10:00,in_person,follow_up,open,0.67
SL00227,PR002,CL002,primary_care,2026-05-01T09:00:00,2026-05-01T09:40:00,in_person,new_issue,open,0.82
SL00228,PR002,CL002,primary_care,2026-05-01T09:30:00,2026-05-01T10:10:00,in_person,existing_concern,open,0.88
SL00229,PR002,CL002,primary_care,2026-05-01T10:00:00,2026-05-01T10:40:00,in_person,existing_concern,open,0.61
SL00230,PR002,CL002,primary_care,2026-05-01T10:30:00,2026-05-01T11:10:00,in_person,follow_up,open,0.46
SL00231,PR002,CL002,primary_care,2026-05-01T11:00:00,2026-05-01T11:40:00,in_person,existing_concern,open,0.48
SL00232,PR002,CL002,primary_care,2026-05-01T11:30:00,2026-05-01T12:10:00,in_person,existing_concern,open,0.77
